address,price,area_in_m2,num_of_rooms,features
"1102 AG Amsterdam (Bijlmer Centrum (D,F,H))","€1,750 per month",54,2,Upholstered or furnished
1015 BT Amsterdam (Grachtengordel-West),"€2,150 per month",130,3,Furnished
1092 BT Amsterdam (Oosterparkbuurt),"€2,100 per month",84,3,Upholstered
1078 LL Amsterdam (Scheldebuurt),"€2,300 per month",75,3,Furnished
1018 AW Amsterdam (Oostelijke Eilanden/Kadijken),"€3,495 per month",170,4,Furnished
1087 EN Amsterdam (IJburg West),"€2,700 per month",96,3,Furnished
1053 BD Amsterdam (Kinkerbuurt),"€2,000 per month",50,2,Furnished
1079 DD Amsterdam (Scheldebuurt),"€3,250 per month",120,4,
1056 NR Amsterdam (Van Galenbuurt),"€1,850 per month",60,2,Furnished
1097 BX Amsterdam (Frankendael),"€3,250 per month",138,5,Upholstered
1059 TR Amsterdam (Hoofddorppleinbuurt),"€1,995 per month",90,3,Shell
1077 CK Amsterdam (Apollobuurt),"€4,500 per month",200,6,Upholstered
1015 RZ Amsterdam (Jordaan),"€2,500 per month",76,4,Furnished
1071 CS Amsterdam (Museumkwartier),"€5,000 per month",236,4,Furnished
1071 BA Amsterdam (Museumkwartier),"€3,500 per month",150,3,Upholstered
1077 PK Amsterdam (Apollobuurt),"€3,950 per month",140,3,Upholstered
1073 GJ Amsterdam (Nieuwe Pijp),"€1,700 per month",40,2,
1017 EW Amsterdam (Grachtengordel-Zuid),"€3,250 per month",136,3,Upholstered
1081 GG Amsterdam (Buitenveldert-West),"€1,650 per month",47,2,
1071 AH Amsterdam (Museumkwartier),"€7,000 per month",260,7,Upholstered
1017 CD Amsterdam (Grachtengordel-Zuid),"€5,400 per month",125,3,Furnished
1067 CJ Amsterdam (Geuzenveld),"€1,160 per month",83,3,
1075 BJ Amsterdam (Willemspark),"€8,000 per month",366,6,Upholstered
1017 ZS Amsterdam (De Weteringschans),"€7,950 per month",200,6,Furnished
1036 LZ Amsterdam (Tuindorp Oostzaan),"€3,100 per month",150,5,Furnished
1082 RD Amsterdam (Buitenveldert-West),"€2,350 per month",85,3,Furnished
1017 EM Amsterdam (Grachtengordel-Zuid),"€10,750 per month",320,7,Furnished
1012 VG Amsterdam (Burgwallen-Nieuwe Zijde),"€2,850 per month",110,2,Furnished
1071 MJ Amsterdam (Museumkwartier),"€4,750 per month",148,5,Upholstered
1017 HW Amsterdam (Grachtengordel-Zuid),"€5,000 per month",120,3,Furnished
1062 KS Amsterdam (Westlandgracht),"€1,665 per month",64,2,
1078 CG Amsterdam (IJselbuurt),"€1,875 per month",50,3,Upholstered
1075 TV Amsterdam (Schinkelbuurt),"€3,950 per month",150,4,Upholstered
1071 ZL Amsterdam (Museumkwartier),"€4,950 per month",140,5,Upholstered
1012 VR Amsterdam (Burgwallen-Nieuwe Zijde),"€2,750 per month",60,4,Upholstered
1017 CZ Amsterdam (Grachtengordel-Zuid),"€3,100 per month",90,3,Upholstered
1075 HM Amsterdam (Willemspark),"€2,950 per month",84,3,Furnished
1076 DK Amsterdam (Stadionbuurt),"€3,500 per month",127,3,Upholstered
1018 DA Amsterdam (Weesperbuurt/Plantage),"€2,950 per month",140,4,Upholstered
1092 AR Amsterdam (Oosterparkbuurt),"€3,000 per month",85,3,Furnished
1092 AR Amsterdam (Oosterparkbuurt),"€3,000 per month",85,3,Furnished
1077 SX Amsterdam (Apollobuurt),"€3,000 per month",111,4,Upholstered
"1104 EA Amsterdam (Bijlmer Oost (E,G,K))","€2,095 per month",132,4,Furnished
1017 JC Amsterdam (Grachtengordel-Zuid),"€8,950 per month",203,7,
1018 AW Amsterdam (Oostelijke Eilanden/Kadijken),"€3,500 per month",164,2,
1011 LA Amsterdam (Nieuwmarkt/Lastage),"€3,500 per month",100,3,Furnished
1011 HV Amsterdam (Nieuwmarkt/Lastage),"€4,400 per month",189,3,Furnished
1067 MX Amsterdam (Geuzenveld),"€2,600 per month",110,4,Furnished
1024 BV Amsterdam (Waterlandpleinbuurt),"€1,295 per month",83,3,
1077 EV Amsterdam (Apollobuurt),"€4,500 per month",185,6,Upholstered
1012 JS Amsterdam (Burgwallen-Oude Zijde),"€5,500 per month",125,3,Upholstered or furnished
1062 KS Amsterdam (Westlandgracht),"€2,250 per month",90,3,Furnished
1019 JT Amsterdam (Oostelijk Havengebied),"€3,950 per month",175,5,Furnished
1052 LC Amsterdam (Frederik Hendrikbuurt),"€1,875 per month",52,2,Upholstered
1071 EZ Amsterdam (Museumkwartier),"€5,000 per month",204,6,Upholstered
1018 VT Amsterdam (Weesperbuurt/Plantage),"€2,300 per month",75,2,Furnished
1069 RL Amsterdam (Osdorp-Midden),"€1,995 per month",60,2,Upholstered or furnished
1019 HM Amsterdam (Oostelijk Havengebied),"€2,750 per month",137,3,
1025 WH Amsterdam (Elzenhagen),"€3,100 per month",128,7,Furnished
1011 GD Amsterdam (Nieuwmarkt/Lastage),"€2,500 per month",100,3,Furnished
1013 HC Amsterdam (Haarlemmerbuurt),"€7,000 per month",200,4,Furnished
1016 HH Amsterdam (Jordaan),"€9,500 per month",240,7,
1076 KV Amsterdam (Stadionbuurt),"€3,100 per month",120,4,Upholstered
1087 NE Amsterdam (IJburg Zuid),"€1,784 per month",114,3,
1071 GN Amsterdam (Museumkwartier),"€4,950 per month",185,6,Upholstered
1017 GP Amsterdam (Grachtengordel-Zuid),"€3,450 per month",129,4,
1077 NL Amsterdam (Apollobuurt),"€4,450 per month",164,6,Upholstered
1018 KA Amsterdam (Oostelijke Eilanden/Kadijken),"€2,450 per month",104,4,
1036 KD Amsterdam (Tuindorp Oostzaan),"€4,500 per month",200,10,Upholstered or furnished
1071 ZS Amsterdam (Museumkwartier),"€4,250 per month",122,7,Upholstered
1098 WN Amsterdam (Middenmeer),"€2,500 per month",96,3,Furnished
1033 PG Amsterdam (Noordelijke IJ-oevers West),"€1,694 per month",89,2,Upholstered
1033 PG Amsterdam (Noordelijke IJ-oevers West),"€1,568 per month",64,2,Upholstered
1033 PG Amsterdam (Noordelijke IJ-oevers West),"€1,265 per month",63,2,Upholstered
1033 PG Amsterdam (Noordelijke IJ-oevers West),"€1,487 per month",71,2,Upholstered
1018 DE Amsterdam (Weesperbuurt/Plantage),"€3,150 per month",147,4,Upholstered
1031 HX Amsterdam (Noordelijke IJ-oevers West),"€1,550 per month",62,3,
1095 ME Amsterdam (Zeeburgereiland/Nieuwe Diep),"€2,250 per month",88,3,
1014 ZA Amsterdam (Houthavens),"€1,688 per month",60,1,
1013 BD Amsterdam (Houthavens),"€1,328 per month",43,1,
1016 VX Amsterdam (Jordaan),"€7,500 per month",178,2,Upholstered or furnished
1031 HX Amsterdam (Noordelijke IJ-oevers West),"€1,550 per month",69,3,
1031 HX Amsterdam (Noordelijke IJ-oevers West),"€1,747 per month",90,2,
1072 AV Amsterdam (Nieuwe Pijp),"€1,865 per month",58,3,Furnished
1018 KZ Amsterdam (Oostelijke Eilanden/Kadijken),"€1,850 per month",84,3,
1016 EJ Amsterdam (Grachtengordel-West),"€9,750 per month",300,5,Upholstered or furnished
1059 AB Amsterdam (Hoofddorppleinbuurt),"€3,000 per month",90,4,Upholstered
1091 GR Amsterdam (Weesperzijde),"€3,250 per month",40,1,Furnished
1031 HX Amsterdam (Noordelijke IJ-oevers West),"€1,446 per month",62,3,
1012 PH Amsterdam (Burgwallen-Nieuwe Zijde),"€2,750 per month",110,4,Furnished
1055 AA Amsterdam (De Kolenkit),"€4,500 per month",50,2,Furnished
1064 AK Amsterdam (Slotermeer-Zuidwest),"€1,400 per month",65,2,Shell
1031 HX Amsterdam (Noordelijke IJ-oevers West),"€2,154 per month",106,3,
1031 HX Amsterdam (Noordelijke IJ-oevers West),"€1,773 per month",74,3,
1031 HX Amsterdam (Noordelijke IJ-oevers West),"€1,540 per month",69,3,
1031 HX Amsterdam (Noordelijke IJ-oevers West),"€1,447 per month",63,3,
1031 HX Amsterdam (Noordelijke IJ-oevers West),"€1,367 per month",62,3,
1072 CS Amsterdam (Oude Pijp),"€2,900 per month",53,2,Furnished
1062 AC Amsterdam (Overtoomse Veld),€673 per month,30,1,Upholstered
1016 GV Amsterdam (Grachtengordel-West),"€4,500 per month",100,3,Upholstered or furnished
1033 PG Amsterdam (Noordelijke IJ-oevers West),"€2,654 per month",129,4,Upholstered
1012 SW Amsterdam (Burgwallen-Nieuwe Zijde),"€2,350 per month",65,2,Furnished
1077 ST Amsterdam (Apollobuurt),"€2,700 per month",120,3,Upholstered or furnished
1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep),"€3,400 per month",105,5,Upholstered
"1102 BL Amsterdam (Bijlmer Centrum (D,F,H))",€655 per month,30,1,Upholstered
1013 PW Amsterdam (Houthavens),"€2,150 per month",100,4,Furnished
1062 KS Amsterdam (Westlandgracht),"€2,250 per month",90,3,Furnished
1013 MM Amsterdam (Haarlemmerbuurt),"€2,550 per month",55,2,Upholstered or furnished
1075 XL Amsterdam (Schinkelbuurt),"€2,450 per month",70,3,Upholstered or furnished
1016 GN Amsterdam (Grachtengordel-West),"€1,950 per month",69,2,
1051 MD Amsterdam (Staatsliedenbuurt),"€1,300 per month",67,1,
1054 LB Amsterdam (Overtoomse Sluis),"€2,150 per month",50,3,Furnished
1082 TJ Amsterdam (Buitenveldert-West),"€1,750 per month",67,3,Furnished
1051 MD Amsterdam (Staatsliedenbuurt),"€1,450 per month",74,2,
1068 NK Amsterdam (Osdorp-Oost),"€2,000 per month",82,4,Furnished
1098 BT Amsterdam (Middenmeer),"€2,500 per month",70,3,
1058 GZ Amsterdam (Westindische Buurt),"€1,700 per month",60,3,Upholstered
1017 ER Amsterdam (Grachtengordel-Zuid),"€1,900 per month",65,2,Furnished
1016 KP Amsterdam (Jordaan),"€2,200 per month",67,3,Upholstered
1097 HH Amsterdam (Frankendael),"€1,800 per month",58,2,Furnished
1056 KP Amsterdam (Geuzenbuurt),"€1,700 per month",45,2,Upholstered or furnished
1011 KW Amsterdam (Nieuwmarkt/Lastage),"€2,400 per month",80,3,Furnished
1017 AN Amsterdam (De Weteringschans),"€2,250 per month",63,3,Upholstered
1074 AM Amsterdam (Zuid Pijp),"€2,450 per month",65,3,
1019 LG Amsterdam (Oostelijk Havengebied),"€1,850 per month",86,3,
1081 BN Amsterdam (Buitenveldert-West),"€4,000 per month",170,7,Upholstered
1016 AA Amsterdam (Grachtengordel-West),"€1,750 per month",47,1,Furnished
1019 VK Amsterdam (Oostelijk Havengebied),"€2,300 per month",105,4,Upholstered
1015 TN Amsterdam (Jordaan),"€2,450 per month",90,3,Upholstered
1012 GP Amsterdam (Burgwallen-Oude Zijde),"€1,700 per month",80,2,Furnished
1015 AE Amsterdam (Grachtengordel-West),"€2,150 per month",65,2,Upholstered
1083 TE Amsterdam (Buitenveldert-Oost),"€1,850 per month",80,3,Upholstered
1072 LC Amsterdam (Oude Pijp),"€2,400 per month",80,3,Upholstered or furnished
1025 DX Amsterdam (Buikslotermeer),"€2,000 per month",81,4,Furnished
1065 LK Amsterdam (Slotervaart Zuid),"€1,350 per month",69,3,
1075 EN Amsterdam (Willemspark),"€2,250 per month",70,2,Furnished
1094 JZ Amsterdam (Indische Buurt West),"€1,850 per month",54,2,Upholstered
1017 CJ Amsterdam (Grachtengordel-Zuid),"€3,150 per month",89,2,
1013 GB Amsterdam (Haarlemmerbuurt),"€2,250 per month",49,2,Upholstered or furnished
1074 TX Amsterdam (Zuid Pijp),"€2,250 per month",71,2,Furnished
1012 DG Amsterdam (Burgwallen-Oude Zijde),"€2,150 per month",99,3,Upholstered
1013 BD Amsterdam (Houthavens),"€2,000 per month",43,2,Furnished
1013 AD Amsterdam (Haarlemmerbuurt),"€2,650 per month",85,3,Furnished
1072 MK Amsterdam (Oude Pijp),"€2,400 per month",105,3,
1073 RC Amsterdam (Zuid Pijp),"€1,850 per month",47,2,Furnished
1091 EB Amsterdam (Weesperzijde),"€2,500 per month",75,3,Furnished
"1102 XT Amsterdam (Bijlmer Centrum (D,F,H))","€1,400 per month",65,2,Upholstered
1082 KW Amsterdam (Buitenveldert-West),"€2,750 per month",125,4,Upholstered
1096 GM Amsterdam (Omval/Overamstel),"€2,500 per month",90,2,Furnished
1106 JN Amsterdam (Holendrecht/Reigersbos),"€1,650 per month",72,3,Furnished
1033 DC Amsterdam (Tuindorp Oostzaan),"€1,950 per month",75,3,
1064 EA Amsterdam (Slotermeer-Zuidwest),"€2,250 per month",100,5,Furnished
1052 SJ Amsterdam (Da Costabuurt),"€2,250 per month",84,3,Upholstered
1015 GJ Amsterdam (Jordaan),"€2,800 per month",120,3,
1017 JV Amsterdam (Grachtengordel-Zuid),"€2,100 per month",80,2,Upholstered or furnished
1078 JS Amsterdam (Scheldebuurt),"€3,250 per month",150,7,
1083 AX Amsterdam (Buitenveldert-Oost),"€2,000 per month",74,3,Furnished
1017 ED Amsterdam (Grachtengordel-Zuid),"€2,350 per month",92,2,Furnished
1016 NH Amsterdam (Jordaan),"€2,640 per month",88,3,Furnished
1013 AD Amsterdam (Haarlemmerbuurt),"€2,250 per month",82,3,
1016 RN Amsterdam (Jordaan),"€2,150 per month",65,2,Furnished
1058 SK Amsterdam (Hoofddorppleinbuurt),"€2,100 per month",89,3,Upholstered
1011 BL Amsterdam (Nieuwmarkt/Lastage),"€2,450 per month",98,3,
1078 AD Amsterdam (IJselbuurt),"€1,995 per month",64,3,
1057 RN Amsterdam (Hoofdweg e.o.),"€1,475 per month",50,2,
1079 GP Amsterdam (Rijnbuurt),"€2,400 per month",86,3,
1071 KZ Amsterdam (Museumkwartier),"€3,000 per month",134,4,
1058 EM Amsterdam (Overtoomse Veld),"€2,400 per month",103,4,Furnished
1016 RG Amsterdam (Jordaan),"€1,750 per month",60,2,Upholstered or furnished
1082 HL Amsterdam (Buitenveldert-West),"€2,250 per month",80,4,Furnished
1016 JB Amsterdam (Jordaan),"€2,495 per month",85,2,Furnished
1017 DV Amsterdam (Grachtengordel-Zuid),"€2,300 per month",90,5,
1013 HG Amsterdam (Haarlemmerbuurt),"€2,700 per month",85,3,Upholstered
1077 NP Amsterdam (Apollobuurt),"€2,950 per month",144,5,
1071 WV Amsterdam (Museumkwartier),"€3,500 per month",104,4,Upholstered
1071 RC Amsterdam (Museumkwartier),"€2,000 per month",80,3,
1016 HE Amsterdam (Jordaan),"€3,500 per month",131,4,
1052 KA Amsterdam (Frederik Hendrikbuurt),"€2,250 per month",85,5,
1055 TL Amsterdam (Landlust),"€1,750 per month",71,2,
1095 BJ Amsterdam (Indische Buurt Oost),"€1,750 per month",62,3,Furnished
1017 XM Amsterdam (De Weteringschans),"€2,450 per month",70,2,Furnished
1015 LS Amsterdam (Jordaan),"€3,450 per month",161,3,Furnished
1078 JR Amsterdam (Scheldebuurt),"€3,750 per month",161,5,Upholstered
1075 CZ Amsterdam (Willemspark),"€6,500 per month",180,6,
1011 EH Amsterdam (Burgwallen-Oude Zijde),"€2,500 per month",70,3,Upholstered or furnished
1056 AK Amsterdam (De Kolenkit),"€3,600 per month",100,4,Furnished
1018 TN Amsterdam (Weesperbuurt/Plantage),"€1,850 per month",56,2,Upholstered
1055 RZ Amsterdam (Landlust),"€1,700 per month",48,2,Upholstered
1019 DR Amsterdam (Oostelijk Havengebied),"€2,495 per month",120,3,Furnished
1016 JA Amsterdam (Jordaan),"€3,950 per month",181,6,Upholstered
1015 TT Amsterdam (Jordaan),"€6,000 per month",195,6,Upholstered
1036 LP Amsterdam (Tuindorp Oostzaan),"€2,500 per month",130,5,Upholstered
1011 NA Amsterdam (Nieuwmarkt/Lastage),"€3,150 per month",95,3,Furnished
1016 NT Amsterdam (Jordaan),"€3,500 per month",80,4,Furnished
1018 SX Amsterdam (Weesperbuurt/Plantage),"€2,750 per month",90,3,Furnished
1015 DE Amsterdam (Grachtengordel-West),"€2,250 per month",95,2,Furnished
1015 DE Amsterdam (Grachtengordel-West),"€3,400 per month",160,3,Furnished
